;KDL1 S/N 21378 Software 6
;Operating Hours U1 = 0:13:33
;Operating Hours U2 = 0:20:21
;Operating Hours U3 = 0:15:15
;Activity Counter U1 = 90
;Activity Counter U2 = 6
;Activity Counter U3 = 8
;Event 2 71 0: Ubat = 4,16V
;DL Temp 22,00°C
30.01.2017 16:51:19,000	162,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:51:20,000	163,000	-35,50	-34,75	-34,50	6,17	26,16	9,98
30.01.2017 16:51:21,000	164,000	-35,50	-34,75	-34,50	5,93	26,16	9,98
30.01.2017 16:51:22,000	165,000	-35,50	-34,75	-34,50	6,34	26,16	9,98
30.01.2017 16:51:23,000	166,000	-35,50	-34,75	-34,50	6,34	26,16	9,98
30.01.2017 16:51:24,000	167,000	-35,50	-34,75	-34,50	6,34	26,16	9,98
30.01.2017 16:51:25,000	168,000	-35,50	-34,75	-34,50	6,13	26,16	9,98
30.01.2017 16:51:26,000	169,000	-35,50	-34,75	-34,50	6,03	26,16	9,98
30.01.2017 16:51:27,000	170,000	-35,50	-34,75	-34,50	6,13	26,16	9,98
30.01.2017 16:51:28,000	171,000	-35,50	-34,75	-34,50	6,34	26,16	9,98
30.01.2017 16:51:29,000	172,000	-35,50	-34,75	-34,50	6,34	26,16	9,98
30.01.2017 16:51:30,000	173,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:31,000	174,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:32,000	175,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:33,000	176,000	-35,50	-34,75	-34,50	5,91	26,16	9,98
30.01.2017 16:51:34,000	177,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:51:35,000	178,000	-35,50	-34,75	-34,50	2,27	26,16	0,00
30.01.2017 16:51:36,000	179,000	-35,50	-34,75	-34,50	2,39	26,16	0,00
30.01.2017 16:51:37,000	180,000	-35,50	-34,75	-34,50	6,52	26,16	9,97
30.01.2017 16:51:38,000	181,000	-35,50	-34,75	-34,50	6,33	26,16	9,97
30.01.2017 16:51:39,000	182,000	-35,50	-34,75	-34,50	6,33	26,16	0,00
30.01.2017 16:51:40,000	183,000	-35,50	-34,75	-34,50	5,78	26,16	9,97
30.01.2017 16:51:41,000	184,000	-35,50	-34,75	-34,50	6,07	26,16	9,97
30.01.2017 16:51:42,000	185,000	-35,50	-34,75	-34,50	6,27	26,16	9,97
30.01.2017 16:51:43,000	186,000	-35,50	-34,75	-34,50	6,27	26,16	9,97
30.01.2017 16:51:44,000	187,000	-35,50	-34,75	-34,50	6,27	26,16	9,97
30.01.2017 16:51:45,000	188,000	-35,50	-34,75	-34,50	6,27	26,16	9,97
30.01.2017 16:51:46,000	189,000	-35,50	-34,75	-34,50	2,30	26,16	0,00
30.01.2017 16:51:47,000	190,000	-35,50	-34,75	-34,50	2,30	26,16	0,00
30.01.2017 16:51:48,000	191,000	-35,50	-34,75	-34,50	2,51	26,16	2,74
30.01.2017 16:51:49,000	192,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:51:50,000	193,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:51,000	194,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:52,000	195,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:53,000	196,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:51:54,000	197,000	-35,50	-34,75	-34,50	5,99	26,16	9,98
30.01.2017 16:51:55,000	198,000	-35,50	-34,75	-34,50	6,33	26,16	9,98
30.01.2017 16:51:56,000	199,000	-35,50	-34,75	-34,50	6,33	26,16	9,98
30.01.2017 16:51:57,000	200,000	-35,50	-34,75	-34,50	6,07	26,16	9,98
30.01.2017 16:51:58,000	201,000	-35,50	-34,75	-34,50	6,22	26,16	9,98
30.01.2017 16:51:59,000	202,000	-35,50	-34,75	-34,50	6,07	26,16	9,98
30.01.2017 16:52:00,000	203,000	-35,50	-34,75	-34,50	6,23	26,16	9,98
30.01.2017 16:52:01,000	204,000	-35,50	-34,75	-34,50	5,92	26,16	9,98
30.01.2017 16:52:02,000	205,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:03,000	206,000	-35,50	-34,75	-34,50	6,32	26,16	9,98
30.01.2017 16:52:04,000	207,000	-35,50	-34,75	-34,50	6,32	26,16	9,98
30.01.2017 16:52:05,000	208,000	-35,50	-34,75	-34,50	5,92	26,16	9,98
30.01.2017 16:52:06,000	209,000	-35,50	-34,75	-34,50	6,13	26,16	9,98
30.01.2017 16:52:07,000	210,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:08,000	211,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:09,000	212,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:10,000	213,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:11,000	214,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:12,000	215,000	-35,50	-34,75	-34,50	6,10	26,16	9,98
30.01.2017 16:52:13,000	216,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:14,000	217,000	-35,50	-34,75	-34,50	5,90	26,16	9,98
30.01.2017 16:52:15,000	218,000	-35,50	-34,75	-34,50	6,29	26,16	9,98
30.01.2017 16:52:16,000	219,000	-35,50	-34,75	-34,50	5,93	26,16	9,98
30.01.2017 16:52:17,000	220,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:18,000	221,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:19,000	222,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:20,000	223,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:21,000	224,000	-35,50	-34,75	-34,50	6,30	26,16	9,98
30.01.2017 16:52:22,000	225,000	-35,50	-34,75	-34,50	6,14	26,16	9,98
30.01.2017 16:52:23,000	226,000	-35,50	-34,75	-34,50	6,14	26,16	9,98
30.01.2017 16:52:24,000	227,000	-35,50	-34,75	-34,50	5,97	26,16	9,98
30.01.2017 16:52:25,000	228,000	-35,50	-34,75	-34,50	6,27	26,16	9,98
30.01.2017 16:52:26,000	229,000	-35,50	-34,75	-34,50	6,12	26,16	9,98
30.01.2017 16:52:27,000	230,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:28,000	231,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:29,000	232,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:30,000	233,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:31,000	234,000	-35,50	-34,75	-34,50	6,08	26,16	9,98
30.01.2017 16:52:32,000	235,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:33,000	236,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:52:34,000	237,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:52:35,000	238,000	-35,50	-34,75	-34,50	6,17	26,16	9,98
30.01.2017 16:52:36,000	239,000	-35,50	-34,75	-34,50	6,28	26,16	9,98
30.01.2017 16:52:37,000	240,000	-35,50	-34,75	-34,50	6,02	26,16	9,98
30.01.2017 16:52:38,000	241,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:39,000	242,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:40,000	243,000	-35,50	-34,75	-34,50	6,20	26,16	9,98
30.01.2017 16:52:41,000	244,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:52:42,000	245,000	-35,50	-34,75	-34,50	6,12	26,16	9,98
30.01.2017 16:52:43,000	246,000	-35,50	-34,75	-34,50	6,12	26,16	9,98
30.01.2017 16:52:44,000	247,000	-35,50	-34,75	-34,50	6,12	26,16	9,98
30.01.2017 16:52:45,000	248,000	-35,50	-34,75	-34,50	6,01	26,16	9,98
30.01.2017 16:52:46,000	249,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:47,000	250,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:48,000	251,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:49,000	252,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:52:50,000	253,000	-35,50	-34,75	-34,50	5,94	26,16	9,98
30.01.2017 16:52:51,000	254,000	-35,50	-34,75	-34,50	6,21	26,16	9,98
30.01.2017 16:52:52,000	255,000	-35,50	-34,75	-34,50	6,21	26,16	9,98
30.01.2017 16:52:53,000	256,000	-35,50	-34,75	-34,50	6,21	26,16	9,98
30.01.2017 16:52:54,000	257,000	-35,50	-34,75	-34,50	6,21	26,16	9,98
30.01.2017 16:52:55,000	258,000	-35,50	-34,75	-34,50	6,08	26,16	9,98
